债券代码,交易日期,spread
78037,201204,0.734977756
78037,201205,0.926626002
78037,201206,0.94134372
78037,201207,0.968463246
78037,201208,1.577326606
78037,201209,1.509046446
78037,201210,1.393294362
78037,201211,1.43069256
78037,201212,1.389225832
78037,201301,1.359737182
78037,201302,1.36728098
78037,201303,1.399864295
78037,201304,1.507007423
78037,201305,1.503234059
78037,201306,1.397747622
78037,201307,1.212693738
78037,201308,0.907414627
78037,201309,0.901608165
78037,201310,0.70106248
78037,201311,0.482210023
78037,201312,0.289425361
78037,201401,0.346729864
78037,201402,0.480246041
78037,201403,0.441932269
78037,201404,0.530437574
78037,201405,0.841117577
78037,201406,0.849551643
78037,201407,0.646081791
78037,201408,0.664089858
78037,201409,0.905869125
78037,201410,1.108813254
78037,201411,1.131404027
78037,201412,0.978492968
78037,201501,1.135091011
78037,201502,1.339236153
78037,201503,0.950120332
78037,201504,1.208252898
78037,201505,0.964626678
78037,201506,1.001498726
78037,201507,1.087519252
78037,201508,1.193324793
78037,201509,1.03936073
78037,201510,1.230889725
78037,201511,1.231330021
78037,201512,1.109820814
78037,201601,1.060025892
78037,201602,0.668288303
78037,201603,0.799991155
78037,201604,0.573364867
78037,201605,0.531115563
78037,201606,0.63862193
78037,201607,0.715185141
78037,201608,0.68313994
78037,201609,0.636544309
78037,201610,0.727870915
78037,201611,0.424740251
78037,201612,0.313043763
78037,201701,0.076918569
78037,201702,0.11202901
78037,201703,0.017664654
78037,201705,1.387489093
78037,201706,1.465368933
78037,201707,1.393291529
78037,201708,1.334742451
78037,201709,1.324316982
78037,201710,1.062640622
78037,201711,1.082083426
78037,201712,1.075982333
78037,201801,1.618797024
78037,201802,1.74557659
78037,201803,1.763408453
78037,201804,2.145635298
78037,201805,2.016982703
78037,201806,2.059170119
78037,201807,2.251748926
78037,201808,2.068236759
78037,201809,2.024864282
78037,201810,2.141342116
78037,201811,2.307978921
78037,201812,2.454157585
78037,201901,2.632304412
78037,201902,2.54841273
78037,201903,2.613924122
78037,201904,2.303353723
78037,201905,2.408390477
78037,201906,2.418404725
78037,201907,2.472800801
78037,201908,2.586308492
78037,201909,2.578411459
78037,201910,2.468391062
78037,201911,2.552890965
78037,201912,2.689395821
78037,202001,2.801711561
78037,202002,2.986278059
78037,202003,3.36976928
78037,202004,3.918171645
78037,202005,3.44592658
78037,202006,3.051648318
78037,202007,2.83654414
78037,202008,2.535765088
78037,202009,2.506660313
78037,202010,2.424946704
78037,202011,2.303721487
78037,202012,2.622111846
78037,202101,2.431049543
78037,202102,2.479436223
78037,202103,2.509385795
78037,202104,2.72551331
78037,202105,2.675867919
78037,202106,2.648077037
78037,202107,2.988720853
78037,202108,2.806043053
78037,202109,2.725814609
78037,202110,0.337488424
78037,202111,0.02546057
78049,200807,1.10999275
78057,200807,1.54170849
78057,200808,1.96734295
78057,200809,2.470575201
78057,200810,3.11845491
78057,200811,3.291173005
78057,200812,1.640247148
78057,200901,1.225573912
78057,200902,1.143698517
78057,200903,1.072304857
78057,200904,1.13813381
78057,200905,1.17739901
78057,200906,1.02449824
78057,200907,0.756669447
78057,200908,0.84154058
78057,200909,0.690776132
78057,200910,0.490501795
78057,200911,0.727264108
78057,200912,0.680073822
78057,201001,0.700069997
78057,201002,0.833835933
78057,201003,0.902619237
78057,201004,1.345341998
78057,201005,1.447723833
78057,201006,1.438949799
78057,201007,1.447611352
78057,201008,1.488101878
78057,201009,1.338702285
78057,201010,0.862130252
78057,201011,0.478010255
78057,201012,0.62856266
78057,201101,0.47317661
78057,201102,0.464481271
78057,201103,0.552308799
78057,201104,0.605512616
78057,201105,0.623116376
78057,201106,1.681583652
78057,201107,1.459291039
78057,201108,1.321246274
78057,201109,1.546553364
78057,201110,1.690240281
78057,201111,1.893040636
78057,201112,2.110479948
78057,201201,2.147970248
78057,201202,2.046933603
78057,201203,2.132145106
78057,201204,1.744943453
78057,201205,2.062859529
78057,201206,1.983951975
78057,201207,2.056713613
78057,201208,1.82929251
78057,201209,1.76111827
78057,201210,1.71625239
78057,201211,1.669529804
78057,201212,1.711884806
78057,201301,1.639041263
78057,201302,1.593129265
78057,201303,1.595996345
78057,201304,1.738753828
78057,201305,1.702115208
78057,201306,1.554381793
78057,201307,1.21028048
78057,201308,0.929777133
78057,201309,0.963540932
78057,201310,0.742471652
78057,201311,0.485162709
78057,201312,0.277861589
78057,201401,0.558100595
78057,201402,0.789390155
78057,201403,0.668103911
78057,201404,0.659632272
78057,201405,0.80755133
78057,201406,0.883906601
78057,201407,0.730385357
78057,201408,0.69455804
78057,201409,0.818841651
78057,201410,1.172567874
78057,201503,1.185489244
78057,201504,1.400502429
78057,201505,1.809556431
78057,201506,1.89241036
78057,201507,1.716281815
78057,201508,1.666097742
78057,201509,1.584007664
78057,201510,1.671750799
78057,201511,1.451395719
78057,201512,1.690734314
78057,201601,1.596860405
78057,201602,1.570978406
78057,201603,1.726129452
78057,201604,1.413906621
78057,201605,1.295961036
78057,201606,1.126233424
78057,201607,1.170765954
78065,200807,1.793276887
78065,200808,2.033235103
78065,200809,2.471156695
78065,200810,3.179608615
78065,200811,3.484263486
78065,200812,4.069833283
78065,200901,3.582053204
78065,200902,3.488313179
78065,200903,3.444830596
78065,200904,3.47482601
78065,200905,3.587846289
78065,200906,3.509113444
78065,200907,3.059391569
78065,200908,3.100400328
78065,200909,3.079380904
78065,200910,2.944312605
78065,200911,3.084597216
78065,200912,3.105708392
78065,201001,3.069989585
78065,201002,3.230211365
78065,201003,3.341747449
78065,201004,3.45801356
78065,201005,3.577798189
78065,201006,3.468736411
78065,201007,3.496453635
78065,201008,3.526551789
78065,201009,3.442702066
78065,201010,3.126329517
78065,201011,0.626121638
78065,201012,0.627926982
78065,201101,0.576175492
78065,201102,0.540332401
78065,201103,0.612100498
78065,201104,0.594361469
78065,201105,0.561305288
78065,201106,0.344280368
78065,201107,0.052232032
78065,201108,1.65380318
78065,201109,1.850184045
78065,201110,2.064677814
78065,201111,2.201835825
78065,201112,2.408044121
78065,201201,2.357059283
78065,201202,2.167100111
78065,201203,2.303958889
78065,201204,2.242176769
78065,201205,2.697815528
78065,201206,2.705922637
78065,201207,2.633695857
78065,201208,2.15508901
78065,201209,2.066552512
78065,201210,1.95002209
78065,201211,1.905793368
78065,201212,1.829255576
78065,201301,1.32981352
78065,201302,1.276469694
78065,201303,1.250960452
78065,201304,1.193678381
78065,201305,1.02961837
78065,201306,0.434603222
78065,201307,0.207701815
78070,200807,1.412761684
78070,200808,1.641936051
78070,200809,2.050699732
78070,200810,2.868320953
78070,200811,3.344614345
78070,200812,3.995493598
78070,200901,3.788970629
78070,200902,3.574294984
78070,200903,0.978656046
78070,200904,0.798229839
78070,200905,0.925085614
78070,200906,0.70305815
78070,200907,0.05985217
78070,200908,0.117322198
78070,200909,0.108583242
78070,201005,0.972386666
78070,201006,0.77426988
78070,201007,0.764272147
78070,201008,0.722665609
78070,201009,0.65136057
78070,201010,0.363816469
78071,200807,1.190060586
78071,200808,1.811014361
78071,200809,2.313607457
78071,200810,2.962909822
78071,200811,3.123215917
78071,200812,3.471905455
78071,200901,3.081773985
78071,200902,3.009857913
78071,200903,2.9880892
78071,200904,2.996700126
78071,200905,1.698592216
78071,200906,1.592303556
78071,200907,1.329864863
78071,200908,1.412840629
78071,200909,1.272660082
78071,200910,1.077090109
78071,200911,1.313432261
78071,200912,1.267185876
78071,201001,1.292546092
78071,201002,1.430081627
78071,201003,1.500683097
78071,201004,1.550501233
78071,201005,1.647865195
78071,201006,1.636802761
78071,201007,1.648698556
78071,201008,1.689037904
